"Town","FIPS","Year","Business Type","Measure Type","Variable","Value"
"Andover","0901301080","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",2
"Andover","0901301080","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",10.6
"Andover","0901301080","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",4.8
"Andover","0901301080","2010-2014","Government","Percent","Employment",24.3
"Andover","0901301080","2010-2014","Government","Percent","Margins of Error",6.6
"Andover","0901301080","2010-2014","Private, Profit","Percent","Employment",49.1
"Andover","0901301080","2010-2014","Private, Profit","Percent","Margins of Error",6.3
"Andover","0901301080","2010-2014","Private, Not-for-profit","Percent","Employment",12.9
"Andover","0901301080","2010-2014","Private, Not-for-profit","Percent","Margins of Error",5.1
"Andover","0901301080","2011-2015","Total","Number","Employment",1699
"Andover","0901301080","2011-2015","Total","Number","Margins of Error",188
"Andover","0901301080","2011-2015","Self-Employed, Incorporated","Percent","Employment",1.6
"Andover","0901301080","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",1.3
"Andover","0901301080","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",11
"Andover","0901301080","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",4.7
"Andover","0901301080","2011-2015","Government","Percent","Employment",24.2
"Andover","0901301080","2011-2015","Government","Percent","Margins of Error",6.9
"Andover","0901301080","2011-2015","Private, Profit","Percent","Employment",47.7
"Andover","0901301080","2011-2015","Private, Profit","Percent","Margins of Error",7.6
"Andover","0901301080","2011-2015","Private, Not-for-profit","Percent","Employment",15.5
"Andover","0901301080","2011-2015","Private, Not-for-profit","Percent","Margins of Error",4.9
"Andover","0901301080","2012-2016","Total","Number","Employment",1820
"Andover","0901301080","2012-2016","Total","Number","Margins of Error",201
"Andover","0901301080","2012-2016","Self-Employed, Incorporated","Percent","Employment",1.8
"Andover","0901301080","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",1.3
"Andover","0901301080","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",9.2
"Andover","0901301080","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",4.4
"Andover","0901301080","2012-2016","Government","Percent","Employment",22.7
"Andover","0901301080","2012-2016","Government","Percent","Margins of Error",6.6
"Andover","0901301080","2012-2016","Private, Profit","Percent","Employment",52
"Andover","0901301080","2012-2016","Private, Profit","Percent","Margins of Error",7.6
"Andover","0901301080","2012-2016","Private, Not-for-profit","Percent","Employment",14.2
"Andover","0901301080","2012-2016","Private, Not-for-profit","Percent","Margins of Error",4.8
"Ansonia","0900901220","2006-2010","Total","Number","Employment",10096
"Ansonia","0900901220","2006-2010","Total","Number","Margins of Error",540
"Ansonia","0900901220","2006-2010","Self-Employed, Incorporated","Percent","Employment",1.1
"Ansonia","0900901220","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",0.8
"Ansonia","0900901220","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",5.3
"Ansonia","0900901220","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",1.9
"Ansonia","0900901220","2006-2010","Government","Percent","Employment",10.4
"Ansonia","0900901220","2006-2010","Government","Percent","Margins of Error",2.2
"Ansonia","0900901220","2006-2010","Private, Profit","Percent","Employment",72.9
"Ansonia","0900901220","2006-2010","Private, Profit","Percent","Margins of Error",3.5
"Ansonia","0900901220","2006-2010","Private, Not-for-profit","Percent","Employment",10.3
"Ansonia","0900901220","2006-2010","Private, Not-for-profit","Percent","Margins of Error",2.6
"Ansonia","0900901220","2007-2011","Total","Number","Employment",9743
"Ansonia","0900901220","2007-2011","Total","Number","Margins of Error",518
"Ansonia","0900901220","2007-2011","Self-Employed, Incorporated","Percent","Employment",0.9
"Ansonia","0900901220","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",0.6
"Ansonia","0900901220","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",5.4
"Ansonia","0900901220","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",1.8
"Ansonia","0900901220","2007-2011","Government","Percent","Employment",11.7
"Ansonia","0900901220","2007-2011","Government","Percent","Margins of Error",2.7
"Ansonia","0900901220","2007-2011","Private, Profit","Percent","Employment",70.8
"Ansonia","0900901220","2007-2011","Private, Profit","Percent","Margins of Error",3.8
"Ansonia","0900901220","2007-2011","Private, Not-for-profit","Percent","Employment",11.3
"Ansonia","0900901220","2007-2011","Private, Not-for-profit","Percent","Margins of Error",2.7
"Ansonia","0900901220","2008-2012","Total","Number","Employment",9600
"Ansonia","0900901220","2008-2012","Total","Number","Margins of Error",518
"Ansonia","0900901220","2008-2012","Self-Employed, Incorporated","Percent","Employment",1
"Ansonia","0900901220","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",0.7
"Ansonia","0900901220","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",5.7
"Ansonia","0900901220","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",2
"Ansonia","0900901220","2008-2012","Government","Percent","Employment",14.4
"Ansonia","0900901220","2008-2012","Government","Percent","Margins of Error",2.7
"Ansonia","0900901220","2008-2012","Private, Profit","Percent","Employment",68.8
"Ansonia","0900901220","2008-2012","Private, Profit","Percent","Margins of Error",4.1
"Ansonia","0900901220","2008-2012","Private, Not-for-profit","Percent","Employment",10.1
"Ansonia","0900901220","2008-2012","Private, Not-for-profit","Percent","Margins of Error",2.5
"Ansonia","0900901220","2009-2013","Total","Number","Employment",8853
"Ansonia","0900901220","2009-2013","Total","Number","Margins of Error",482
"Ansonia","0900901220","2009-2013","Self-Employed, Incorporated","Percent","Employment",1.1
"Ansonia","0900901220","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",0.9
"Ansonia","0900901220","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",5.8
"Ansonia","0900901220","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",2.6
"Ansonia","0900901220","2009-2013","Government","Percent","Employment",14.9
"Ansonia","0900901220","2009-2013","Government","Percent","Margins of Error",3.1
"Ansonia","0900901220","2009-2013","Private, Profit","Percent","Employment",69.4
"Ansonia","0900901220","2009-2013","Private, Profit","Percent","Margins of Error",3.4
"Ansonia","0900901220","2009-2013","Private, Not-for-profit","Percent","Employment",8.9
"Ansonia","0900901220","2009-2013","Private, Not-for-profit","Percent","Margins of Error",2
"Ansonia","0900901220","2010-2014","Total","Number","Employment",8504
"Ansonia","0900901220","2010-2014","Total","Number","Margins of Error",559
"Ansonia","0900901220","2010-2014","Self-Employed, Incorporated","Percent","Employment",1.6
"Ansonia","0900901220","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",1.2
"Ansonia","0900901220","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",5.8
"Ansonia","0900901220","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",2.4
"Ansonia","0900901220","2010-2014","Government","Percent","Employment",15.1
"Ansonia","0900901220","2010-2014","Government","Percent","Margins of Error",3.5
"Ansonia","0900901220","2010-2014","Private, Profit","Percent","Employment",69
"Ansonia","0900901220","2010-2014","Private, Profit","Percent","Margins of Error",4.4
"Ansonia","0900901220","2010-2014","Private, Not-for-profit","Percent","Employment",8.5
"Ansonia","0900901220","2010-2014","Private, Not-for-profit","Percent","Margins of Error",2.5
"Ansonia","0900901220","2011-2015","Total","Number","Employment",8515
"Ansonia","0900901220","2011-2015","Total","Number","Margins of Error",597
"Ansonia","0900901220","2011-2015","Self-Employed, Incorporated","Percent","Employment",1.9
"Ansonia","0900901220","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",1.3
"Ansonia","0900901220","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",4.9
"Ansonia","0900901220","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",1.8
"Ansonia","0900901220","2011-2015","Government","Percent","Employment",13.6
"Ansonia","0900901220","2011-2015","Government","Percent","Margins of Error",2.5
"Ansonia","0900901220","2011-2015","Private, Profit","Percent","Employment",70.3
"Ansonia","0900901220","2011-2015","Private, Profit","Percent","Margins of Error",3.6
"Ansonia","0900901220","2011-2015","Private, Not-for-profit","Percent","Employment",9.4
"Ansonia","0900901220","2011-2015","Private, Not-for-profit","Percent","Margins of Error",2.3
"Ansonia","0900901220","2012-2016","Total","Number","Employment",8311
"Ansonia","0900901220","2012-2016","Total","Number","Margins of Error",503
"Ansonia","0900901220","2012-2016","Self-Employed, Incorporated","Percent","Employment",1.8
"Ansonia","0900901220","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",1.2
"Ansonia","0900901220","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",3.7
"Ansonia","0900901220","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",1.4
"Ansonia","0900901220","2012-2016","Government","Percent","Employment",12.2
"Ansonia","0900901220","2012-2016","Government","Percent","Margins of Error",3.3
"Ansonia","0900901220","2012-2016","Private, Profit","Percent","Employment",73.6
"Ansonia","0900901220","2012-2016","Private, Profit","Percent","Margins of Error",3.8
"Ansonia","0900901220","2012-2016","Private, Not-for-profit","Percent","Employment",8.7
"Ansonia","0900901220","2012-2016","Private, Not-for-profit","Percent","Margins of Error",2.1
"Ashford","0901501430","2006-2010","Total","Number","Employment",2414
"Ashford","0901501430","2006-2010","Total","Number","Margins of Error",176
"Ashford","0901501430","2006-2010","Self-Employed, Incorporated","Percent","Employment",3.7
"Ashford","0901501430","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",2
"Ashford","0901501430","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",7.3
"Ashford","0901501430","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",3.4
"Ashford","0901501430","2006-2010","Government","Percent","Employment",23
"Ashford","0901501430","2006-2010","Government","Percent","Margins of Error",5.4
"Ashford","0901501430","2006-2010","Private, Profit","Percent","Employment",58.7
"Ashford","0901501430","2006-2010","Private, Profit","Percent","Margins of Error",6.5
"Ashford","0901501430","2006-2010","Private, Not-for-profit","Percent","Employment",7.2
"Ashford","0901501430","2006-2010","Private, Not-for-profit","Percent","Margins of Error",3
"Ashford","0901501430","2007-2011","Total","Number","Employment",2513
"Ashford","0901501430","2007-2011","Total","Number","Margins of Error",188
"Ashford","0901501430","2007-2011","Self-Employed, Incorporated","Percent","Employment",4.1
"Ashford","0901501430","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",2.2
"Ashford","0901501430","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",8.4
"Ashford","0901501430","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",3.4
"Ashford","0901501430","2007-2011","Government","Percent","Employment",24.1
"Ashford","0901501430","2007-2011","Government","Percent","Margins of Error",5
"Ashford","0901501430","2007-2011","Private, Profit","Percent","Employment",51.1
"Ashford","0901501430","2007-2011","Private, Profit","Percent","Margins of Error",5.4
"Ashford","0901501430","2007-2011","Private, Not-for-profit","Percent","Employment",12.4
"Ashford","0901501430","2007-2011","Private, Not-for-profit","Percent","Margins of Error",3.7
"Ashford","0901501430","2008-2012","Total","Number","Employment",2421
"Ashford","0901501430","2008-2012","Total","Number","Margins of Error",198
"Ashford","0901501430","2008-2012","Self-Employed, Incorporated","Percent","Employment",3.1
"Ashford","0901501430","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",1.9
"Ashford","0901501430","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",7
"Ashford","0901501430","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",2.6
"Ashford","0901501430","2008-2012","Government","Percent","Employment",24.6
"Ashford","0901501430","2008-2012","Government","Percent","Margins of Error",6
"Ashford","0901501430","2008-2012","Private, Profit","Percent","Employment",52.5
"Ashford","0901501430","2008-2012","Private, Profit","Percent","Margins of Error",6.5
"Ashford","0901501430","2008-2012","Private, Not-for-profit","Percent","Employment",12.8
"Ashford","0901501430","2008-2012","Private, Not-for-profit","Percent","Margins of Error",4.2
"Ashford","0901501430","2009-2013","Total","Number","Employment",2390
"Ashford","0901501430","2009-2013","Total","Number","Margins of Error",176
"Ashford","0901501430","2009-2013","Self-Employed, Incorporated","Percent","Employment",3.2
"Ashford","0901501430","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",1.9
"Ashford","0901501430","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",8.5
"Ashford","0901501430","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",3.4
"Ashford","0901501430","2009-2013","Government","Percent","Employment",22.1
"Ashford","0901501430","2009-2013","Government","Percent","Margins of Error",4.5
"Ashford","0901501430","2009-2013","Private, Profit","Percent","Employment",53.3
"Ashford","0901501430","2009-2013","Private, Profit","Percent","Margins of Error",5.9
"Ashford","0901501430","2009-2013","Private, Not-for-profit","Percent","Employment",12.9
"Ashford","0901501430","2009-2013","Private, Not-for-profit","Percent","Margins of Error",4
"Ashford","0901501430","2010-2014","Total","Number","Employment",2405
"Ashford","0901501430","2010-2014","Total","Number","Margins of Error",168
"Ashford","0901501430","2010-2014","Self-Employed, Incorporated","Percent","Employment",0.8
"Ashford","0901501430","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",0.8
"Ashford","0901501430","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",7.9
"Ashford","0901501430","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",3.6
"Ashford","0901501430","2010-2014","Government","Percent","Employment",21.7
"Ashford","0901501430","2010-2014","Government","Percent","Margins of Error",4.7
"Ashford","0901501430","2010-2014","Private, Profit","Percent","Employment",55.2
"Ashford","0901501430","2010-2014","Private, Profit","Percent","Margins of Error",6.5
"Ashford","0901501430","2010-2014","Private, Not-for-profit","Percent","Employment",14.3
"Ashford","0901501430","2010-2014","Private, Not-for-profit","Percent","Margins of Error",4.1
"Ashford","0901501430","2011-2015","Total","Number","Employment",2384
"Ashford","0901501430","2011-2015","Total","Number","Margins of Error",172
"Ashford","0901501430","2011-2015","Self-Employed, Incorporated","Percent","Employment",2.9
"Ashford","0901501430","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",2.2
"Ashford","0901501430","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",7.8
"Ashford","0901501430","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",3.1
"Ashford","0901501430","2011-2015","Government","Percent","Employment",20.8
"Ashford","0901501430","2011-2015","Government","Percent","Margins of Error",4.5
"Ashford","0901501430","2011-2015","Private, Profit","Percent","Employment",52
"Ashford","0901501430","2011-2015","Private, Profit","Percent","Margins of Error",6.1
"Ashford","0901501430","2011-2015","Private, Not-for-profit","Percent","Employment",16.6
"Ashford","0901501430","2011-2015","Private, Not-for-profit","Percent","Margins of Error",4.5
"Ashford","0901501430","2012-2016","Total","Number","Employment",2238
"Ashford","0901501430","2012-2016","Total","Number","Margins of Error",141
"Ashford","0901501430","2012-2016","Self-Employed, Incorporated","Percent","Employment",2.8
"Ashford","0901501430","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",2.3
"Ashford","0901501430","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",7.4
"Ashford","0901501430","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",3.2
"Ashford","0901501430","2012-2016","Government","Percent","Employment",21.4
"Ashford","0901501430","2012-2016","Government","Percent","Margins of Error",4.6
"Ashford","0901501430","2012-2016","Private, Profit","Percent","Employment",53.6
"Ashford","0901501430","2012-2016","Private, Profit","Percent","Margins of Error",5.9
"Ashford","0901501430","2012-2016","Private, Not-for-profit","Percent","Employment",14.8
"Ashford","0901501430","2012-2016","Private, Not-for-profit","Percent","Margins of Error",4.3
"Avon","0900302060","2006-2010","Total","Number","Employment",8262
"Avon","0900302060","2006-2010","Total","Number","Margins of Error",332
"Avon","0900302060","2006-2010","Self-Employed, Incorporated","Percent","Employment",5.7
"Avon","0900302060","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",1.7
"Avon","0900302060","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",8.5
"Avon","0900302060","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",1.9
"Avon","0900302060","2006-2010","Government","Percent","Employment",12.3
"Avon","0900302060","2006-2010","Government","Percent","Margins of Error",2.3
"Avon","0900302060","2006-2010","Private, Profit","Percent","Employment",65.4
"Avon","0900302060","2006-2010","Private, Profit","Percent","Margins of Error",3.6
"Avon","0900302060","2006-2010","Private, Not-for-profit","Percent","Employment",8.1
"Avon","0900302060","2006-2010","Private, Not-for-profit","Percent","Margins of Error",2
"Avon","0900302060","2007-2011","Total","Number","Employment",8477
"Avon","0900302060","2007-2011","Total","Number","Margins of Error",325
"Avon","0900302060","2007-2011","Self-Employed, Incorporated","Percent","Employment",6
"Avon","0900302060","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",1.7
"Avon","0900302060","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",9
"Avon","0900302060","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",1.7
"Avon","0900302060","2007-2011","Government","Percent","Employment",10.6
"Avon","0900302060","2007-2011","Government","Percent","Margins of Error",2.3
"Avon","0900302060","2007-2011","Private, Profit","Percent","Employment",66.5
"Avon","0900302060","2007-2011","Private, Profit","Percent","Margins of Error",3.2
"Avon","0900302060","2007-2011","Private, Not-for-profit","Percent","Employment",7.8
"Avon","0900302060","2007-2011","Private, Not-for-profit","Percent","Margins of Error",1.7
"Avon","0900302060","2008-2012","Total","Number","Employment",8693
"Avon","0900302060","2008-2012","Total","Number","Margins of Error",393
"Avon","0900302060","2008-2012","Self-Employed, Incorporated","Percent","Employment",5.4
"Avon","0900302060","2008-2012","Self-Employed, Incorporated","Percent","Margins of Error",1.5
"Avon","0900302060","2008-2012","Self-Employed, Not Incorporated","Percent","Employment",8.6
"Avon","0900302060","2008-2012","Self-Employed, Not Incorporated","Percent","Margins of Error",2.1
"Avon","0900302060","2008-2012","Government","Percent","Employment",11
"Avon","0900302060","2008-2012","Government","Percent","Margins of Error",2.2
"Avon","0900302060","2008-2012","Private, Profit","Percent","Employment",67.1
"Avon","0900302060","2008-2012","Private, Profit","Percent","Margins of Error",3.5
"Avon","0900302060","2008-2012","Private, Not-for-profit","Percent","Employment",8
"Avon","0900302060","2008-2012","Private, Not-for-profit","Percent","Margins of Error",1.8
"Avon","0900302060","2009-2013","Total","Number","Employment",8674
"Avon","0900302060","2009-2013","Total","Number","Margins of Error",345
"Avon","0900302060","2009-2013","Self-Employed, Incorporated","Percent","Employment",5.5
"Avon","0900302060","2009-2013","Self-Employed, Incorporated","Percent","Margins of Error",1.8
"Avon","0900302060","2009-2013","Self-Employed, Not Incorporated","Percent","Employment",7.7
"Avon","0900302060","2009-2013","Self-Employed, Not Incorporated","Percent","Margins of Error",2.1
"Avon","0900302060","2009-2013","Government","Percent","Employment",10.4
"Avon","0900302060","2009-2013","Government","Percent","Margins of Error",2
"Avon","0900302060","2009-2013","Private, Profit","Percent","Employment",68.5
"Avon","0900302060","2009-2013","Private, Profit","Percent","Margins of Error",3.5
"Avon","0900302060","2009-2013","Private, Not-for-profit","Percent","Employment",7.9
"Avon","0900302060","2009-2013","Private, Not-for-profit","Percent","Margins of Error",2.3
"Avon","0900302060","2010-2014","Total","Number","Employment",8562
"Avon","0900302060","2010-2014","Total","Number","Margins of Error",359
"Avon","0900302060","2010-2014","Self-Employed, Incorporated","Percent","Employment",5.8
"Avon","0900302060","2010-2014","Self-Employed, Incorporated","Percent","Margins of Error",1.8
"Avon","0900302060","2010-2014","Self-Employed, Not Incorporated","Percent","Employment",9.4
"Avon","0900302060","2010-2014","Self-Employed, Not Incorporated","Percent","Margins of Error",2.4
"Avon","0900302060","2010-2014","Government","Percent","Employment",10.2
"Avon","0900302060","2010-2014","Government","Percent","Margins of Error",2
"Avon","0900302060","2010-2014","Private, Profit","Percent","Employment",66.8
"Avon","0900302060","2010-2014","Private, Profit","Percent","Margins of Error",3.6
"Avon","0900302060","2010-2014","Private, Not-for-profit","Percent","Employment",7.8
"Avon","0900302060","2010-2014","Private, Not-for-profit","Percent","Margins of Error",1.9
"Avon","0900302060","2011-2015","Total","Number","Employment",8788
"Avon","0900302060","2011-2015","Total","Number","Margins of Error",443
"Avon","0900302060","2011-2015","Self-Employed, Incorporated","Percent","Employment",5.8
"Avon","0900302060","2011-2015","Self-Employed, Incorporated","Percent","Margins of Error",1.9
"Avon","0900302060","2011-2015","Self-Employed, Not Incorporated","Percent","Employment",7.9
"Avon","0900302060","2011-2015","Self-Employed, Not Incorporated","Percent","Margins of Error",2.2
"Avon","0900302060","2011-2015","Government","Percent","Employment",12.5
"Avon","0900302060","2011-2015","Government","Percent","Margins of Error",2.6
"Avon","0900302060","2011-2015","Private, Profit","Percent","Employment",65.3
"Avon","0900302060","2011-2015","Private, Profit","Percent","Margins of Error",3.5
"Avon","0900302060","2011-2015","Private, Not-for-profit","Percent","Employment",8.5
"Avon","0900302060","2011-2015","Private, Not-for-profit","Percent","Margins of Error",1.8
"Avon","0900302060","2012-2016","Total","Number","Employment",8795
"Avon","0900302060","2012-2016","Total","Number","Margins of Error",364
"Avon","0900302060","2012-2016","Self-Employed, Incorporated","Percent","Employment",6.5
"Avon","0900302060","2012-2016","Self-Employed, Incorporated","Percent","Margins of Error",2.1
"Avon","0900302060","2012-2016","Self-Employed, Not Incorporated","Percent","Employment",5.8
"Avon","0900302060","2012-2016","Self-Employed, Not Incorporated","Percent","Margins of Error",1.7
"Avon","0900302060","2012-2016","Government","Percent","Employment",11.6
"Avon","0900302060","2012-2016","Government","Percent","Margins of Error",2.5
"Avon","0900302060","2012-2016","Private, Profit","Percent","Employment",66.4
"Avon","0900302060","2012-2016","Private, Profit","Percent","Margins of Error",2.8
"Avon","0900302060","2012-2016","Private, Not-for-profit","Percent","Employment",9.7
"Avon","0900302060","2012-2016","Private, Not-for-profit","Percent","Margins of Error",2.2
"Barkhamsted","0900502760","2006-2010","Total","Number","Employment",2277
"Barkhamsted","0900502760","2006-2010","Total","Number","Margins of Error",135
"Barkhamsted","0900502760","2006-2010","Self-Employed, Incorporated","Percent","Employment",5.4
"Barkhamsted","0900502760","2006-2010","Self-Employed, Incorporated","Percent","Margins of Error",3
"Barkhamsted","0900502760","2006-2010","Self-Employed, Not Incorporated","Percent","Employment",6.1
"Barkhamsted","0900502760","2006-2010","Self-Employed, Not Incorporated","Percent","Margins of Error",2.4
"Barkhamsted","0900502760","2006-2010","Government","Percent","Employment",16.4
"Barkhamsted","0900502760","2006-2010","Government","Percent","Margins of Error",4.6
"Barkhamsted","0900502760","2006-2010","Private, Profit","Percent","Employment",64.7
"Barkhamsted","0900502760","2006-2010","Private, Profit","Percent","Margins of Error",6.6
"Barkhamsted","0900502760","2006-2010","Private, Not-for-profit","Percent","Employment",7.4
"Barkhamsted","0900502760","2006-2010","Private, Not-for-profit","Percent","Margins of Error",3.6
"Barkhamsted","0900502760","2007-2011","Total","Number","Employment",2227
"Barkhamsted","0900502760","2007-2011","Total","Number","Margins of Error",129
"Barkhamsted","0900502760","2007-2011","Self-Employed, Incorporated","Percent","Employment",5.1
"Barkhamsted","0900502760","2007-2011","Self-Employed, Incorporated","Percent","Margins of Error",2.3
"Barkhamsted","0900502760","2007-2011","Self-Employed, Not Incorporated","Percent","Employment",6.4
"Barkhamsted","0900502760","2007-2011","Self-Employed, Not Incorporated","Percent","Margins of Error",2.9
"Barkhamsted","0900502760","2007-2011","Government","Percent","Employment",19.3
"Barkhamsted","0900502760","2007-2011","Government","Percent","Margins of Error",5.1
"Barkhamsted","0900502760","2007-2011","Private, Profit","Percent","Employment",61.5
"Barkhamsted","0900502760","2007-2011","Private, Profit","Percent","Margins of Error",6
"Barkhamsted","0900502760","2007-2011","Private, Not-for-profit","Percent","Employment",7.7
"Barkhamsted","0900502760","2007-2011","Private, Not-for-profit","Percent","Margins of Error",3.4
"Barkhamsted","0900502760","2008-2012","Total","Number","Employment",2224
